Temperatura (°C),Cisnienie p (MPa),Gestosc ρ (kg/m³),Cieplo wlasciwe cp (kJ/(kg·K)),Przewodzenie ciepla λ·10^2 (W/(m·K)),Dyfuzyjnosc cieplna a·10^8 (m²/s),Lepkosc dynamiczna μ·10^6 (N·s/m²),Lepkosc kinematyczna ν·10^6 (m²/s),Rozszerzalnosc β·10^4 (1/K),Napiecie powierzchniowe σ·10^4 (N/m),Liczba Prandtla Pr (-)
1.6,0.0007086786787,999.8681682,4.208657658,55.46606607,13.1954955,1711.285285,1.712126126,-0.4183183183,754.0444444,13.00948949
1.61,0.0007092992993,999.867968,4.208636637,55.46836837,13.1960961,1710.802803,1.711642643,-0.416986987,754.0296296,13.00533534
1.62,0.0007099199199,999.8677678,4.208615616,55.47067067,13.1966967,1710.32032,1.711159159,-0.4156556557,754.0148148,13.00118118
1.63,0.0007105405405,999.8675676,4.208594595,55.47297297,13.1972973,1709.837838,1.710675676,-0.4143243243,754,12.99702703
1.64,0.0007111611612,999.8673674,4.208573574,55.47527528,13.1978979,1709.355355,1.710192192,-0.412992993,753.9851852,12.99287287
1.65,0.0007117817818,999.8671672,4.208552553,55.47757758,13.1984985,1708.872873,1.709708709,-0.4116616617,753.9703704,12.98871872
1.66,0.0007124024024,999.866967,4.208531532,55.47987988,13.1990991,1708.39039,1.709225225,-0.4103303303,753.9555556,12.98456456
1.67,0.000713023023,999.8667668,4.208510511,55.48218218,13.1996997,1707.907908,1.708741742,-0.408998999,753.9407407,12.98041041
1.68,0.0007136436436,999.8665666,4.208489489,55.48448448,13.2003003,1707.425425,1.708258258,-0.4076676677,753.9259259,12.97625626
1.69,0.0007142642643,999.8663664,4.208468468,55.48678679,13.2009009,1706.942943,1.707774775,-0.4063363363,753.9111111,12.9721021
1.7,0.0007148848849,999.8661662,4.208447447,55.48908909,13.2015015,1706.46046,1.707291291,-0.405005005,753.8962963,12.96794795
1.71,0.0007155055055,999.865966,4.208426426,55.49139139,13.2021021,1705.977978,1.706807808,-0.4036736737,753.8814815,12.96379379
1.72,0.0007161261261,999.8657658,4.208405405,55.49369369,13.2027027,1705.495495,1.706324324,-0.4023423423,753.8666667,12.95963964
